trade_date,ts_code,open,high,low,close,pre_close,change,pct_change,vol,amount,past_10_day_price,past_10_day_price_change_rate
2017-07-17,002291.SZ,9.98,9.98,9.1,9.1,10.03,-0.93,-9.27,327569.79,310688.361,16.8,-0.45833333333333337
2017-12-11,002606.SZ,13.69,14.32,13.69,13.69,15.21,-1.52,-9.99,955520.36,1320788.777,26.09,-0.4752778842468379
2017-12-12,002606.SZ,12.48,13.86,12.33,13.6,13.69,-0.09,-0.66,1459030.32,1865789.256,26.13,-0.47952544967470345
2017-12-13,002606.SZ,12.9,13.43,12.8,12.94,13.6,-0.66,-4.85,782963.4,1025971.045,25.87,-0.4998067259373793
2017-12-14,002606.SZ,12.93,13.4,12.93,13.05,12.94,0.11,0.85,580049.4,763500.755,25.94,-0.49691595990747883
2017-12-15,002606.SZ,13.05,13.15,12.52,12.65,13.05,-0.4,-3.07,444577.72,565063.066,25.77,-0.5091191307722157
2017-12-18,002606.SZ,12.52,12.6,11.91,12.5,12.65,-0.15,-1.19,452464.08,552247.507,23.19,-0.46097455799913756
2017-11-20,002638.SZ,5.35,5.76,5.35,5.4,5.94,-0.54,-9.09,1480811.45,800543.887,9.99,-0.45945945945945943
2017-11-24,002638.SZ,5.55,5.69,5.41,5.5,5.61,-0.11,-1.96,378936.25,210080.764,10.04,-0.4521912350597609
2017-06-01,002761.SZ,30.27,30.37,27.3,27.3,30.37,-3.04,-10.01,64609.0,185663.681,54.14,-0.4957517547100111
2017-04-24,002762.SZ,30.26,30.26,27.23,27.23,30.38,-3.04,-10.01,174135.95,482712.711,50.99,-0.4659737203373211
2017-04-25,002762.SZ,27.04,27.67,26.27,27.5,27.34,0.27,0.99,103307.15,281054.135,50.6,-0.4565217391304348
2017-05-22,002797.SZ,8.89,8.99,8.44,8.56,14.62,-0.89,-6.09,739589.42,1038085.716,15.65,-0.453035143769968
2017-05-23,002797.SZ,8.54,8.54,8.02,8.18,13.73,-0.6,-4.37,828622.96,1097497.368,15.58,-0.4749679075738126
2017-06-01,002802.SZ,34.84,35.2,32.65,32.65,36.45,-3.64,-9.99,59398.31,199576.086,60.09,-0.4566483607921452
2017-06-02,002802.SZ,30.85,32.59,29.85,31.87,32.81,-0.78,-2.38,50042.28,156503.147,62.2,-0.487620578778135
2017-06-05,002802.SZ,31.84,32.6,31.72,31.96,32.03,0.09,0.28,32685.52,105409.925,61.65,-0.4815896188158961
2017-06-02,002847.SZ,30.59,32.43,30.27,31.86,31.5,0.36,1.14,49094.03,153910.356,59.5,-0.4645378151260504
