trade_date,ts_code,open,high,low,close,pre_close,change,pct_change,vol,amount,past_10_day_price,past_10_day_price_change_rate
2018-09-03,000488.SZ,6.64,6.65,6.48,6.59,6.65,-0.06,-0.9023,207146.8,135585.341,,
2018-09-04,000488.SZ,6.58,6.73,6.57,6.7,6.59,0.11,1.6692,194945.67,130089.271,,
2018-09-05,000488.SZ,6.7,6.7,6.55,6.55,6.7,-0.15,-2.2388,173996.54,115079.55,,
2018-09-06,000488.SZ,6.5,6.55,6.3,6.33,6.55,-0.22,-3.3588,270186.1,173317.797,,
2018-09-07,000488.SZ,6.36,6.43,6.28,6.31,6.33,-0.02,-0.316,162817.31,103389.33,,
2018-09-10,000488.SZ,6.3,6.34,6.07,6.08,6.31,-0.23,-3.645,218219.4,134314.875,,
2018-09-11,000488.SZ,6.13,6.2,6.11,6.15,6.08,0.07,1.1513,165556.91,101973.147,,
2018-09-12,000488.SZ,6.19,6.27,6.13,6.22,6.15,0.07,1.1382,154258.05,95813.272,,
2018-09-13,000488.SZ,6.29,6.33,6.19,6.28,6.22,0.06,0.9646,147774.72,92547.48,,
2018-09-14,000488.SZ,6.29,6.29,6.2,6.22,6.28,-0.06,-0.9554,96961.61,60442.808,,
2018-09-17,000488.SZ,6.2,6.2,6.11,6.12,6.22,-0.1,-1.6077,98393.47,60373.114,6.59,-0.07132018209408186
2018-09-18,000488.SZ,6.14,6.27,6.11,6.25,6.12,0.13,2.1242,132627.38,82189.17,6.7,-0.06716417910447758
2018-09-19,000488.SZ,6.23,6.43,6.2,6.38,6.25,0.13,2.08,238419.69,151002.103,6.55,-0.025954198473282397
2018-09-20,000488.SZ,6.36,6.42,6.3,6.32,6.38,-0.06,-0.9404,125677.97,79917.912,6.33,-0.0015797788309636074
2018-09-21,000488.SZ,6.34,6.48,6.3,6.46,6.32,0.14,2.2152,205407.82,131792.984,6.31,0.023771790808240878
2018-09-25,000488.SZ,6.41,6.44,6.35,6.37,6.46,-0.09,-1.3932,163026.81,104142.081,6.08,0.047697368421052655
2018-09-26,000488.SZ,6.36,6.5,6.36,6.44,6.37,0.07,1.0989,175569.99,113094.93,6.15,0.047154471544715415
2018-09-27,000488.SZ,6.45,6.45,6.35,6.36,6.44,-0.08,-1.2422,158287.3,101078.333,6.22,0.022508038585209
