code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price
sh600000,2014/12/31,15.45,15.79,15.11,15.69,0.021484,468832339,7271524766,2.34138E+11,2.92673E+11,0.031417,130.254642
sh600000,2014/12/30,14.95,15.5,14.83,15.36,0.027425,443655559,6774519460,2.29214E+11,2.86517E+11,0.02973,127.515107
sh600000,2014/12/29,15.4,15.88,14.71,14.95,0.012187,625216146,9556435997,2.23096E+11,2.78869E+11,0.041897,124.111353
sh600000,2014/12/26,14.3,14.84,14.19,14.77,0.036491,466983121,6790353352,2.20409E+11,2.75512E+11,0.031293,122.61702
sh600000,2014/12/25,13.75,14.27,13.53,14.25,0.058692,455721907,6359588287,2.1265E+11,2.65812E+11,0.030539,118.30013
sh600000,2014/12/24,14.11,14.2,13.31,13.46,-0.046067,417579539,5715187854,2.00861E+11,2.51076E+11,0.027983,111.741781
sh600000,2014/12/23,14.4,14.98,14.08,14.11,-0.038828,441578783,6398625351,2.1056E+11,2.632E+11,0.029591,117.137976
sh600000,2014/12/22,14.18,15.2,14.14,14.68,0.041874,683449513,10043569171,2.19066E+11,2.73833E+11,0.045799,121.869942
sh600000,2014/12/19,13.96,14.2,13.63,14.09,0.014399,436244208,6099396161,2.10262E+11,2.62827E+11,0.029233,116.971863
sh600000,2014/12/18,14.22,14.34,13.71,13.89,-0.015592,499627853,7010664184,2.07277E+11,2.59097E+11,0.033481,115.311493
sh600000,2014/12/17,13.49,14.39,13.33,14.11,0.061701,869703585,12037657249,2.1056E+11,2.632E+11,0.05828,117.137907
sh600000,2014/12/16,12.7,13.3,12.65,13.29,0.041536,438688005,5706439860,1.98324E+11,2.47905E+11,0.029397,110.33041
sh600000,2014/12/15,12.8,12.82,12.46,12.76,-0.016949,335025414,4232421865,1.90415E+11,2.38018E+11,0.022451,105.930482
sh600000,2014/12/12,13.05,13.38,12.78,12.98,-0.005364,310558743,4067040277,1.93698E+11,2.42122E+11,0.020811,107.756853
sh600000,2014/12/11,12.96,13.55,12.85,13.05,-0.008359,442571181,5847503446,1.94742E+11,2.43428E+11,0.029657,108.337977
sh600000,2014/12/10,12.7,13.25,12.21,13.16,0.040316,620272395,7901267906,1.96384E+11,2.4548E+11,0.041565,109.251208
sh600000,2014/12/9,13.56,14.16,12.46,12.65,-0.083997,869193775,11788051418,1.88773E+11,2.35966E+11,0.058246,105.01733
sh600000,2014/12/8,13.39,14.04,13.2,13.81,0.020695,703922500,9622363300,2.06084E+11,2.57604E+11,0.047171,114.647364
sh600000,2014/12/5,13.42,14,12.9,13.53,0.019593,859647616,11553890777,2.01905E+11,2.52381E+11,0.057606,112.322843
sh600000,2014/12/4,12.58,13.3,12.37,13.27,0.054849,720041669,9307946036,1.98025E+11,2.47532E+11,0.048251,110.164392
sh600000,2014/12/3,12.84,13.29,12.32,12.58,-0.022533,730561448,9380076839,1.87729E+11,2.34661E+11,0.048956,104.436173
sh600000,2014/12/2,12.03,13.08,12.03,12.87,0.058388,589371031,7404591089,1.92056E+11,2.4007E+11,0.039495,106.843681
sh600000,2014/12/1,12.45,12.98,12.12,12.16,-0.019355,607270363,7590567304,1.81461E+11,2.26826E+11,0.040694,100.949445
sh600000,2014/11/28,11.53,12.48,11.48,12.4,0.080139,832183256,9950390236,1.85042E+11,2.31303E+11,0.055766,102.941885
sh600000,2014/11/27,11.48,11.72,11.28,11.48,0.014134,439738276,5062406815,1.71313E+11,2.14142E+11,0.029468,95.304294
sh600000,2014/11/26,11.25,11.43,11.1,11.32,0.021661,452263345,5092828904,1.68926E+11,2.11157E+11,0.030307,93.976037
sh600000,2014/11/25,10.81,11.09,10.75,11.08,0.020258,289490093,3159162410,1.65344E+11,2.0668E+11,0.019399,91.983581
sh600000,2014/11/24,10.57,10.99,10.45,10.86,0.006487,474049927,5090821659,1.62061E+11,2.02577E+11,0.031767,90.157177
sh600000,2014/11/21,10.58,10.82,10.46,10.79,0.020814,209997641,2234174865,1.61017E+11,2.01271E+11,0.014072,89.576096
sh600000,2014/11/20,10.45,10.66,10.37,10.57,0.009551,162402495,1709647461,1.57734E+11,1.97167E+11,0.010883,87.749675
sh600000,2014/11/19,10.43,10.54,10.39,10.47,0.001914,145326646,1518565385,1.56241E+11,1.95302E+11,0.009739,86.919507
sh600000,2014/11/18,10.75,10.8,10.43,10.45,-0.027907,254900899,2687326957,1.55943E+11,1.94929E+11,0.017081,86.75346
sh600000,2014/11/17,10.94,11.08,10.73,10.75,-0.013761,214519835,2329015774,1.6042E+11,2.00525E+11,0.014375,89.243992
sh600000,2014/11/14,10.88,10.98,10.75,10.9,-0.003656,198414346,2154897404,1.62658E+11,2.03323E+11,0.013296,90.489215
sh600000,2014/11/13,11.1,11.38,10.86,10.94,-0.009955,371263986,4115769395,1.63255E+11,2.04069E+11,0.024879,90.821257
sh600000,2014/11/12,10.85,11.07,10.74,11.05,0.011905,271038574,2961655250,1.64897E+11,2.06121E+11,0.018163,91.734474
sh600000,2014/11/11,10.62,11.26,10.62,10.92,0.035071,653738973,7163875483,1.62957E+11,2.03696E+11,0.043808,90.655223
sh600000,2014/11/10,10.53,10.81,10.42,10.55,0.036346,489376864,5168943744,1.57435E+11,1.96794E+11,0.032794,87.58358
sh600000,2014/11/7,10.01,10.39,9.98,10.18,0.014955,407114119,4155058255,1.51914E+11,1.89892E+11,0.027281,84.51191
sh600000,2014/11/6,10.01,10.04,9.95,10.03,0.004004,101863094,1018619320,1.49675E+11,1.87094E+11,0.006826,83.266657
sh600000,2014/11/5,10.08,10.11,9.96,9.99,-0.007944,157561422,1578932517,1.49079E+11,1.86348E+11,0.010558,82.934587
sh600000,2014/11/4,10.2,10.2,10.02,10.07,-0.008858,163212641,1645394573,1.50272E+11,1.8784E+11,0.010937,83.598695
sh600000,2014/11/3,10.25,10.28,10.1,10.16,-0.003922,248371619,2525984147,1.51615E+11,1.89519E+11,0.016644,84.34583
sh600000,2014/10/31,9.88,10.38,9.85,10.2,0.039755,491064711,4953082712,1.52212E+11,1.90265E+11,0.032907,84.677937
sh600000,2014/10/30,9.72,9.85,9.65,9.81,0.01134,176780522,1722710639,1.46392E+11,1.82991E+11,0.011846,81.440279
sh600000,2014/10/29,9.61,9.75,9.57,9.7,0.01147,161050635,1555124009,1.44751E+11,1.80939E+11,0.010792,80.527101
sh600000,2014/10/28,9.5,9.61,9.5,9.59,0.012672,101044054,965189350,1.43109E+11,1.78887E+11,0.006771,79.61393
sh600000,2014/10/27,9.62,9.63,9.4,9.47,-0.021694,138929487,1323460330,1.41319E+11,1.76648E+11,0.00931,78.617686
sh600000,2014/10/24,9.77,9.79,9.66,9.68,-0.007179,108312657,1054022659,1.44452E+11,1.80566E+11,0.007258,80.361039
sh600000,2014/10/23,9.78,9.88,9.72,9.75,-0.003067,118416324,1159897472,1.45497E+11,1.81871E+11,0.007935,80.942122
sh600000,2014/10/22,9.79,9.88,9.75,9.78,0,91092137,893481676,1.45945E+11,1.82431E+11,0.006104,81.191135
sh600000,2014/10/21,9.89,9.91,9.76,9.78,-0.012121,105290636,1034461912,1.45945E+11,1.82431E+11,0.007056,81.191135
sh600000,2014/10/20,9.93,9.95,9.82,9.9,0.005076,114718758,1133473887,1.47735E+11,1.84669E+11,0.007687,82.187328
sh600000,2014/10/17,9.88,10,9.75,9.85,-0.004044,161019857,1588282410,1.46989E+11,1.83737E+11,0.01079,81.772252
sh600000,2014/10/16,9.74,10.04,9.7,9.89,0.010215,296366859,2936900132,1.47586E+11,1.84483E+11,0.01986,82.104282
sh600000,2014/10/15,9.72,9.85,9.64,9.79,0.007202,133922265,1304901629,1.46094E+11,1.82617E+11,0.008974,81.274067
sh600000,2014/10/14,9.72,9.82,9.69,9.72,-0.001028,84002904,818017648,1.45049E+11,1.81312E+11,0.005629,80.692917
sh600000,2014/10/13,9.79,9.83,9.68,9.73,-0.010173,109831220,1069089803,1.45199E+11,1.81498E+11,0.00736,80.775955
sh600000,2014/10/10,9.8,9.91,9.77,9.83,-0.00203,133030186,1308626408,1.46691E+11,1.83364E+11,0.008915,81.606134
sh600000,2014/10/9,9.85,9.94,9.81,9.85,0.001016,130968217,1293022527,1.46989E+11,1.83737E+11,0.008776,81.772131
sh600000,2014/10/8,9.78,9.85,9.73,9.84,0.009231,142724444,1398725077,1.4684E+11,1.8355E+11,0.009564,81.689135
sh600000,2014/9/30,9.78,9.8,9.7,9.75,-0.001025,105093276,1023862494,1.45497E+11,1.81871E+11,0.007042,80.94196
sh600000,2014/9/29,9.75,9.81,9.72,9.76,0.004115,121763013,1188241034,1.45646E+11,1.82058E+11,0.00816,81.02501
sh600000,2014/9/26,9.69,9.74,9.64,9.72,0.00103,80598327,781818068,1.45049E+11,1.81312E+11,0.005401,80.692959
sh600000,2014/9/25,9.79,9.83,9.68,9.71,-0.005123,137216320,1340440535,1.449E+11,1.81125E+11,0.009195,80.609931
sh600000,2014/9/24,9.61,9.79,9.59,9.76,0.013499,152637326,1480725849,1.45646E+11,1.82058E+11,0.010228,81.025022
sh600000,2014/9/23,9.61,9.69,9.6,9.63,0.002081,88224150,850252148,1.43706E+11,1.79633E+11,0.005912,79.945833
sh600000,2014/9/22,9.83,9.83,9.61,9.61,-0.024365,155546883,1505934022,1.43408E+11,1.7926E+11,0.010423,79.779811
sh600000,2014/9/19,9.72,9.91,9.7,9.85,0.012333,286004782,2816151314,1.46989E+11,1.83737E+11,0.019166,81.772191
sh600000,2014/9/18,9.56,9.75,9.53,9.73,0.016719,218993865,2119148592,1.45199E+11,1.81498E+11,0.014675,80.77598
sh600000,2014/9/17,9.63,9.66,9.53,9.57,-0.005198,116577448,1116528160,1.42811E+11,1.78514E+11,0.007812,79.447694
sh600000,2014/9/16,9.65,9.76,9.59,9.62,0.002083,222751521,2154511976,1.43557E+11,1.79446E+11,0.014927,79.862821
sh600000,2014/9/15,9.56,9.64,9.51,9.6,0,99444466,950656348,1.43259E+11,1.79073E+11,0.006664,79.696813
sh600000,2014/9/12,9.61,9.61,9.53,9.6,0,80296496,768304362,1.43259E+11,1.79073E+11,0.005381,79.696813
